t,P,D,V
0,0.6269922535911212,0.00990099009900991,0
1,0.7327827956862644,0.010219807031581265,369
2,0.6571213977342949,0.010017773799094937,570
3,0.7245823770299153,0.010242953097038938,375
4,0.7128378113516292,0.010284731279255449,408
5,0.7605001628598121,0.010535903842211434,271
6,0.6517074743372886,0.01012686744583474,315
7,0.6929915263690627,0.010133818070025202,170
8,0.7287518193423924,0.010311790780386182,145
9,0.6441254797237626,0.009989855476253839,412
10,0.6175910528780013,0.009686280958187611,336
11,0.6196228941855838,0.009563187177701094,626
12,0.5986329032355335,0.009384235770155255,421
13,0.6237333022411531,0.009411085552969038,310
14,0.6286602086976086,0.009464679255832604,525
15,0.6231359769384647,0.00945352280360019,349
16,0.6279245921021154,0.00948075450257988,299
17,0.6453401435842808,0.009569939395307106,389
18,0.6595388558647071,0.009679731438705702,195
19,0.6721533684314874,0.009795359503210312,79
20,0.7085762984684751,0.010054494538144032,649
21,0.722122761035365,0.010246746928923337,170
22,0.677819320701281,0.010127535583495575,209
23,0.6387053442072212,0.009886258689476178,470
24,0.7376479309327999,0.010267133321701313,229
25,0.7654649604116566,0.0105870184516816,325
26,0.7624433003185161,0.010734206569660542,79
27,0.8324324335682987,0.011160816058850952,103
28,0.7676329110805682,0.011061429817031369,382
29,0.7990821839462585,0.011145219083172099,803
30,0.7402053443976561,0.010904438472928095,396
31,0.8018246606694917,0.011100111368030892,269
32,0.7914471868578601,0.011133518022939399,424
33,0.8205243935009112,0.011303723965697614,274
34,0.8131213930706194,0.01135272310242144,30
35,0.7557925180202992,0.011094510040871003,132
36,0.6915782787708348,0.010631664521766743,428
37,0.7797964730998941,0.010828141623366297,446
38,0.7544531157206014,0.010817219428230938,593
39,0.760554114096427,0.010827555251084883,497
40,0.7704162100126378,0.01087549696126465,221
41,0.7934456254230942,0.011021531608568636,233
42,0.8062092802327826,0.011171478496245519,443
43,0.768286154898896,0.011065666130396288,298
44,0.681731585265311,0.01057840521898148,53
45,0.6692142403935574,0.010249758130001292,758
46,0.7117074331016884,0.010314344778331496,556
47,0.6962370976231047,0.010264637648759714,157
48,0.6632859401756926,0.010055431456537828,662
49,0.6913713259929372,0.010088654295094398,87
50,0.6756781998718077,0.010038911463932479,409
51,0.6990370540605928,0.010121486776898773,316
52,0.7014659640334829,0.010163060628740447,401
53,0.7464208411183161,0.01040526280083801,113
54,0.6838037868158882,0.010228297503806454,507
55,0.7442123323225658,0.010452651156528736,365
56,0.6744820977722839,0.010219783810648739,121
57,0.7110565506580427,0.010299914656585092,463
58,0.688997057817925,0.010210940384353372,633
59,0.6590643151726356,0.010020200641070074,115
60,0.6763122455478733,0.01001091756939171,5
61,0.6645895309260581,0.009942832471436265,163
62,0.6282399120364272,0.009729084861673589,69
63,0.6409089621911711,0.00967501898754938,356
64,0.6523576727634351,0.009717561720474464,417
65,0.6468245271661097,0.009710088009955936,36
66,0.7405867611886915,0.010173107927973862,69
67,0.686660540103304,0.01014903053903592,474
68,0.724347621718555,0.010306611018103951,636
69,0.7110630711675743,0.010309674274087334,314
70,0.7516628973022088,0.01050336733668221,366
71,0.727439213616921,0.010485530404980596,217
72,0.6404758123397093,0.010041231274159578,19
73,0.6498386677269855,0.009876961321635243,374
74,0.6855415789121183,0.009960892797416437,421
75,0.7022658687578771,0.01011140083117111,842
76,0.6735576100896212,0.010035988982992586,240
77,0.6832257275863822,0.010033142852907607,455
78,0.6511790386142972,0.009867171850841551,145
79,0.6444307781901407,0.009776069903190566,866
80,0.6512572793289069,0.009777112440099763,421
81,0.6246709409007608,0.009639803016071646,165
82,0.6387724554101124,0.009648003742611464,214
83,0.5815358205361596,0.009365262281874554,22
84,0.6652651431550258,0.009647354074100804,162
85,0.6894982089626275,0.009901008371467008,289
86,0.6563459621956296,0.009849038265842165,440
87,0.6060160856118468,0.009583545708555522,410
88,0.6644488276447447,0.009729099047772622,468
89,0.6549811614886313,0.009767290150271427,431
90,0.6322220927253788,0.009659233160126795,451
91,0.5867915192537713,0.009361313963566625,566
92,0.657638250153187,0.009559379472457625,243
93,0.6040486482857721,0.009413029707612973,763
94,0.625577622239227,0.009440570341662721,234
95,0.6583075204676494,0.009611226409602977,228
96,0.673273850920398,0.0097923944593254,710
97,0.6694840642709325,0.00987041615828166,216
98,0.6095222356975447,0.009617243391604554,257
99,0.6597139863658555,0.009735922278653804,192
100,0.65210226916138,0.009749570166163965,258
101,0.6639013277947361,0.00982992821242385,491
102,0.6360200391925737,0.009715077008584294,528
103,0.6471478782520055,0.009718791326639636,186
104,0.607289372800566,0.009501844042231686,659
105,0.6575960007665058,0.00965251861090249,257
106,0.6469423838336505,0.009666677965750967,267
107,0.6081948621204813,0.009473019302954752,236
108,0.613553837878428,0.009427178133994548,818
109,0.6682104612645599,0.009690262242192863,430
110,0.6446904986823905,0.009702459319734909,59
111,0.6687327454245727,0.00983836653741927,324
112,0.6117698046469452,0.009595728936546553,871
113,0.6128735656541443,0.009492156263899851,413
114,0.6148361401039364,0.009451015697195645,28
115,0.5692583583459487,0.00919487046606482,259
116,0.5840170382383493,0.009122072314202983,626
117,0.5624289469686855,0.008992626587031627,503
118,0.5529637292377967,0.008865049196503518,525
